Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
VirtualXposed,3,2,14,59857,7691,2017-12-01 09:00:58 +0000 UTC,2022-09-13 16:20:19 +0000 UTC,Java,50,40,105,935,No Releases,13653
Material-Animations,4,1,4,2511,96,2015-03-08 20:54:00 +0000 UTC,2022-09-06 03:05:00 +0000 UTC,Java,0,12,13,28,No Releases,13559
keycloak,6,1,63,860963,214378,2013-07-02 13:38:51 +0000 UTC,2022-09-13 16:28:52 +0000 UTC,Java,24,8406,1166,1567,No Releases,13499
mybatis-plus,5,1,25,26360,14969,2016-08-18 10:06:53 +0000 UTC,2022-09-13 13:21:41 +0000 UTC,Java,22,341,122,3917,No Releases,13492
Algorithms,2,1,16,35343,9156,2017-03-18 02:50:46 +0000 UTC,2022-09-13 19:02:42 +0000 UTC,Java,0,60,59,104,No Releases,13454
openapi-generator,5,1,95,2084445,523557,2018-05-12 09:57:56 +0000 UTC,2022-09-13 18:15:44 +0000 UTC,Java,49,6226,3140,2613,No Releases,13424
logger,5,1,14,2143,340,2015-03-20 22:30:12 +0000 UTC,2022-09-13 01:19:02 +0000 UTC,Java,16,29,67,135,No Releases,13396
mockito,3,1,18,72185,21038,2012-10-13 20:27:12 +0000 UTC,2022-09-13 08:09:00 +0000 UTC,Java,191,1079,326,1059,No Releases,13283
bytecode-viewer,4,2,12,39126,8264,2014-10-14 10:26:46 +0000 UTC,2022-09-13 10:39:21 +0000 UTC,Java,58,100,76,244,No Releases,13244
Android-PickerView,3,1,15,11140,1116,2014-12-28 01:46:38 +0000 UTC,2022-09-12 01:49:08 +0000 UTC,Java,0,32,411,533,No Releases,13177
Arduino,4,1,32,188728,128802,2010-09-17 19:10:36 +0000 UTC,2022-09-13 18:10:58 +0000 UTC,Java,37,713,718,9078,No Releases,13152
Luban,2,1,10,1667,293,2016-07-24 07:43:21 +0000 UTC,2022-09-13 10:27:56 +0000 UTC,Java,6,11,139,227,No Releases,13048
antlr4,5,1,42,183246,69406,2010-02-04 01:36:28 +0000 UTC,2022-09-13 16:12:49 +0000 UTC,Java,27,1346,652,1326,No Releases,12938
hadoop,7,1,65,3990004,704904,2014-08-28 07:00:08 +0000 UTC,2022-09-12 08:41:39 +0000 UTC,Java,0,2519,0,0,No Releases,12915
flink-learning,3,1,1,23664,3644,2019-01-01 07:38:28 +0000 UTC,2022-09-13 15:26:58 +0000 UTC,Java,0,15,0,0,No Releases,12696
AndroidAutoSize,5,1,31,3543,2124,2018-08-17 09:04:19 +0000 UTC,2022-09-13 08:30:04 +0000 UTC,Java,14,4,91,322,No Releases,12613
deeplearning4j,8,2,45678,1360135,365732,2013-11-27 02:03:28 +0000 UTC,2022-09-13 14:23:27 +0000 UTC,Java,0,3741,759,4867,No Releases,12609
stetho,4,1,7,25425,4014,2015-01-22 22:34:10 +0000 UTC,2022-09-13 01:19:06 +0000 UTC,Java,13,267,62,314,No Releases,12577
greenDAO,5,2,47,22369,5193,2011-10-22 16:15:14 +0000 UTC,2022-09-13 03:50:35 +0000 UTC,Java,8,37,191,777,No Releases,12544
BigData-Notes,5,1,0,23173,951,2019-03-10 01:40:01 +0000 UTC,2022-09-13 13:06:40 +0000 UTC,Java,0,5,18,23,No Releases,12375
pinpoint,5,1,17,469362,121385,2014-10-20 09:27:22 +0000 UTC,2022-09-13 11:28:17 +0000 UTC,Java,50,5043,302,3304,No Releases,12373
thingsboard,8,1,18,455229,72976,2016-12-01 09:33:30 +0000 UTC,2022-09-13 18:57:08 +0000 UTC,Java,50,2298,1168,3099,No Releases,12335
Matisse,6,1,8,5951,1901,2017-04-13 01:31:05 +0000 UTC,2022-09-13 06:02:30 +0000 UTC,Java,15,67,399,308,No Releases,12326
AndroidSwipeLayout,3,1,58,3771,318,2014-08-25 04:09:33 +0000 UTC,2022-09-13 16:24:31 +0000 UTC,Java,18,22,354,146,No Releases,12256
