Repository,CBO,DIT,LCOM,Code Lines,Comment Lines
cropper,5,1,16,1982,730
cryptomator,8,1,16,42358,5767
ctci,1,1,5,45435,4670
curator,5,1,10,63233,24408
cw-omnibus,5,1,20,232766,37815
dagger,3,1,5,11399,3666
data-transfer-project,6,1,6,77169,12681
databus,5,1,46,195250,35524
dataease,6,1,25,297327,10084
datahub,9,1,13,613706,32802
datax-web,5,1,13,23877,7268
dbeaver,7,1,50,591728,116691
dddsample-core,5,1,4,23302,3308
debezium,7,1,54,242486,45535
deeplearning4j,8,2,45678,1360135,365732
dex2jar,5,1,19,38309,6387
dexcount-gradle-plugin,6,1,22,7174,1525
dexposed,2,1,82,4889,1364
dialogplus,5,1,57,3008,411
disconf,4,1,12,76201,15397
disruptor,4,1,26,19875,7121
dolphinscheduler,6,1,30,257606,78006
drag-sort-listview,3,1,28,5339,1615
drools,6,1,63,1046358,230905
dropwizard,5,1,19,72778,13288
druid,4,1,215,1148906,203621
dubbo,5,1,42,229676,85681
dubbo-admin,4,1,24,35563,5530
dubbo-spring-boot-project,7,1,11,6935,2684
dynamic-datasource-spring-boot-starter,4,1,2,3771,2032
dynamic-load-apk,5,1,9,4433,754
easy-rules,5,1,7,7729,4739
easyexcel,6,1,32,27672,9593
easypermissions,8,1,12,3049,490
effective-java-3e-source-code,1,1,1,3294,678
eladmin,7,1,6,14395,8580
elasticsearch,7,1,39,2862261,338208
elasticsearch-analysis-ik,4,1,17,3367,1373
elasticsearch-jdbc,4,1,86,19433,3060
elasticsearch-sql,9,1,315,137520,13583
emojicon,5,1,6,4619,908
epic,3,1,30,6869,1594
epoxy,7,1,136,94915,15308
error-prone,5,1,21,226225,54163
eureka,5,1,18,50219,19618
failsafe,6,2,19,12451,7060
fastjson,1,1,126,209343,14087
feign,4,1,13,40361,8503
ffmpeg-android-java,2,1,7,2420,175
flink,6,1,24,2281802,584096
flink-cdc-connectors,6,1,17,61702,12411
flink-learning,3,1,1,23664,3644
flink-recommandSystem-demo,3,1,6,11665,564
floatingsearchview,3,1,26,5586,981
flow,4,1,2,4700,1840
flowable-engine,6,1,132,1659309,322236
flutter-webrtc,7,1,57,20462,1370
flyway,5,1,33,41701,15842
folding-cell-android,4,1,13,2186,261
freeline,3,1,13,13773,1538
fresco,6,1,24,756646,44504
from-java-to-kotlin,0,1,0,2226,0
frontend-maven-plugin,5,1,5,5241,361
fullstack-tutorial,0,0,0,53699,1652
generator,7,1,86,102128,16116
geoserver,7,1,40,1360623,244705
gephi,4,1,24,215804,62119
giffun,5,1,25,48487,18962
glide,5,1,19,85733,14401
glide-transformations,5,2,2,2385,522
gnirehtet,3,1,14,10677,1907
go-lang-idea-plugin,8,2,110,117320,18413
gocd,7,1,37,795215,125676
google-authenticator,3,1,29,10939,2710
google-java-format,5,1,68,14855,6800
google-services,6,1,4,6063,1469
gpmall,4,1,8,77903,6528
graal,6,2,95,1444368,554489
gradle-retrolambda,4,1,2,3973,250
grafika,6,1,6,10023,4746
graphhopper,6,1,25,160144,27747
graphql-java,8,1,33,418482,22287
graylog2-server,7,1,17,439656,103958
greenDAO,5,2,47,22369,5193
greys-anatomy,4,1,6,11447,3606
groovy,4,1,108,464391,174100
groupie,5,1,29,7490,665
grpc-java,5,1,12,252848,68830
gson,2,1,15,29722,9383
guava,3,1,47,489688,130085
guice,3,1,7,76521,20121
h2database,6,2,164,293736,73864
hackpad,5,1,152,385775,72070
hadoop,7,1,65,3990004,704904
halo,7,1,16,40083,13196
haven,6,1,11,21810,3534
hawk,3,1,12,2494,334
hazelcast,7,1,39,1320429,331793
hbase,7,1,69,996769,252855
hello-algorithm,1,1,0,21703,969
hellocharts-android,6,1,40,11536,1917
hibernate-orm,6,1,54,1047818,219656
hive,6,1,98,2303295,381341
hmily,5,1,10,45017,25622
hope-boot,5,1,6,165317,32104
hsweb-framework,6,1,9,30525,6127
http-request,2,1,78,5579,2480
hudi,8,1,50,313287,90513
hugo,5,1,27,1202,30
hutool,3,1,113,132525,104377
ice,5,1,9,11784,2291
iceberg,8,1,29,486628,84366
ignite,5,1,315,1811089,824592
igniter,4,1,15,9858,503
im-server,6,1,117,92477,18221
immutables,4,1,28,72611,23677
incubator-heron,5,1,20,266210,80819
incubator-seatunnel,5,1,6,88519,28824
initializr,6,1,31,42464,16013
interview,2,1,3,30806,6103
interviewGuide,0,0,0,20780,27
interviews,1,1,0,8626,4446
ion,4,1,23,11133,2314
ip2region,2,1,9,708267,3236
ipscan,4,1,4,51896,3000
itstack-demo-design,2,1,5,7023,886
jOOQ,9,1,1418,554643,266695
jackson-databind,3,1,26,7287631,895036
jacoco,4,1,12,62042,19975
jadx,4,1,28,127141,11845
janusgraph,6,1,37,129825,35525
java-algorithms-implementation,3,1,7,25703,6438
java-design-patterns,3,1,2,90900,54233
java-developer-roadmap,0,1,0,1991,0
java-faker,4,1,40,62447,1417
java-jwt,5,1,137,11623,1732
java-learning,1,1,0,14105,5949
java-tron,9,1,59,355523,42727
java8-tutorial,1,1,3,3389,351
javacpp,5,2,156,30764,7487
javacv,6,2,128,47019,5193
javaparser,8,1,301,207523,61094
javapoet,4,1,129,11068,1309
javassist,3,1,44,88325,21498
jd-gui,4,2,11,17488,2868
jedis,5,1,613,66881,14819
jeecg-boot,7,1,36,382016,34778
jenkins,5,1,43,377691,238043
jersey,4,1,12,325824,246392
jetcache,6,1,15,22889,2455
jetlinks-community,8,1,12,40619,4189
jetty,5,1,27,706000,114711
jfinal,4,1,73,32898,16369
jib,7,1,17,67600,19173
jitsi,5,1,39,409477,204718
jjwt,3,2,36,17877,8493
jmeter,5,2,62,331036,82876
jmonkeyengine,6,1,53,824810,129833
jna,4,2,43,161695,118528
joda-time,8,2,296,97798,44939
jodd,3,1,12,35627,25316
jpexs-decompiler,6,1,51,357982,126784
jsonschema2pojo,6,1,78,26325,7414
jsoup,5,1,172,27013,5954
jstorm,5,1,42,252996,53771
junit4,4,1,12,38019,7592
junit5,4,1,42,105740,40376
jvm,0,1,0,1042,3
jvm-sandbox,3,1,11,19061,5867
jvm-serializers,6,1,45,26510,3037
jvm-tools,4,1,19,35247,4522
jwt-spring-security-demo,5,1,4,1479,67
kafdrop,5,1,29,8389,1264
kafka,7,1,40,729422,178811
karate,5,1,87,68986,10969
keepass2android,4,1,42,251862,49650
keycloak,6,1,63,860963,214378
kkFileView,5,1,38,1456066,120274
ksql,8,1,25,2832064,76462
kylin,5,1,91,337569,70728
lamp-cloud,8,1,6,38662,11985
languagetool,5,1,48,2638990,98733
lanproxy,4,1,8,43097,5100
lawnchair,9,1,75,211459,48474
learning-spark,2,1,1,4262,697
leetcode,2,1,0,4342,386
lettuce-core,6,1,148,96433,71803
libgdx,5,1,3468,615557,96480
library,6,1,5,10773,83
librec,6,2,25,2655641,21904
libstreaming,3,1,23,28384,6018
libsvm,3,1,20,15766,707
light-4j,4,1,21,68237,26611
light-task-scheduler,4,1,24,98851,9038
linuxdeploy,7,1,35,9420,1106
liquibase,6,1,64,194447,22350
litemall,4,1,1532,152367,47621
litho,7,1,39,634570,125466
logger,5,1,14,2143,340
logging-log4j2,5,1,46,255045,107167
lombok-intellij-plugin,3,1,9,57713,1735
lottie-android,6,1,27,60642,3736
lucida,6,1,23,54547,13696
lwjgl3,6,2,1047,1111539,615206
mall,3,1,1119,131896,3517
mall-learning,4,1,533,100401,4889
mall-swarm,3,1,1093,132425,3520
malmo,7,2,12,52445,14799
mapdb,3,2,81,20732,5275
